Date,Mon,Tue,Wednes,Thurs,Fri,
3/23,"[""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]",
3/30,"    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]",
4/6,"[""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]",
4/13,"    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]",
4/20,"[""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]",
4/27,"    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]",
5/4,"[""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]",
5/11,"    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]",
5/18,"[""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]",
5/25,"    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]","    [""8:15am8"", ""9:30am1"", ""10:45am2"", ""11:55am9"", ""12:30am3"", ""1:45pm4""]","    [""8:15am8"", ""9:30am5"", ""10:45am6"", ""11:55am9"", ""12:30am7""]",

